"alias","name","Organism Taxon Id","represents","selected","shared name","type"
"PAB1|PABP|PABP1|PABPC2|PABPL1","PABPC1","9606","ncbigene:26986","false","PABPC1","protein"
"ORC5L|ORC5P|ORC5T|PPP1R117","ORC5","9606","ncbigene:5001","false","ORC5","protein"
"ORC4L|ORC4P","ORC4","9606","ncbigene:5000","false","ORC4","protein"
"C7orf14","NUP205","9606","ncbigene:23165","false","NUP205","protein"
"HNUP153|N153","NUP153","9606","ncbigene:9972","false","NUP153","protein"
"ADIR2|NUP196|NUP96","NUP98","9606","ncbigene:4928","false","NUP98","protein"
"NIC96","NUP93","9606","ncbigene:9688","false","NUP93","protein"
,"NUP88","9606","ncbigene:4927","false","NUP88","protein"
"FROUNT|Nup75","NUP85","9606","ncbigene:79902","false","NUP85","protein"
"NMP-22|NUMA","NUMA1","9606","ncbigene:4926","false","NUMA1","protein"
"B23|NPM","NPM1","9606","ncbigene:4869","false","NPM1","protein"
"NOP5|NOP5/NOP58","NOP58","9606","ncbigene:51602","false","NOP58","protein"
"NOL5A|SCA36","NOP56","9606","ncbigene:10528","false","NOP56","protein"
"NOL1|NOP120|NSUN1|p120","NOP2","9606","ncbigene:4839","false","NOP2","protein"
,"NEK7","9606","ncbigene:140609","false","NEK7","protein"
"C23","NCL","9606","ncbigene:4691","false","NCL","protein"
"BRRN1|CAP-H","NCAPH","9606","ncbigene:23397","false","NCAPH","protein"
"CAPG|CHCG|NY-MEL-3|YCG1","NCAPG","9606","ncbigene:64151","false","NCAPG","protein"
"CAP-D2|CNAP1|hCAP-D2","NCAPD2","9606","ncbigene:9918","false","NCAPD2","protein"
"ALP|NET43","NAT10","9606","ncbigene:55226","false","NAT10","protein"
"HBO1|HBOA|MYST2|ZC2HC7","KAT7","9606","ncbigene:11143","false","KAT7","protein"
"BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA","MYH9","9606","ncbigene:4627","false","MYH9","protein"
"HsT18564|MEF-2|MST156|MSTP156|myEF-2","MYEF2","9606","ncbigene:50804","false","MYEF2","protein"
"COCA2|FCC2|HNPCC|HNPCC2|hMLH1","MLH1","9606","ncbigene:4292","false","MLH1","protein"
"CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104","MCM7","9606","ncbigene:4176","false","MCM7","protein"
"MCG40308|Mis5|P105MCM","MCM6","9606","ncbigene:4175","false","MCM6","protein"
"HCC5|P1-MCM3|P1.h|RLFB","MCM3","9606","ncbigene:4172","false","MCM3","protein"
"ALS21|MPD2|VCPDM","MATR3","9606","ncbigene:9782","false","MATR3","protein"
"CRA|CREAP-1|CROP|LUC7A|OA48-18|hLuc7A","LUC7L3","9606","ncbigene:51747","false","LUC7L3","protein"
"CGI-74|LUC7B2","LUC7L2","9606","ncbigene:51631","false","LUC7L2","protein"
"ADLD|LMN|LMN2|LMNB","LMNB1","9606","ncbigene:4001","false","LMNB1","protein"
"DHCR14B|LMN2R|PHA|TDRD18","LBR","9606","ncbigene:3930","false","LBR","protein"
"IMB1|IPO1|IPOB|Impnb|NTF97","KPNB1","9606","ncbigene:3837","false","KPNB1","protein"
"IPOA1|QIP2|RCH1|SRP1alpha","KPNA2","9606","ncbigene:3838","false","KPNA2","protein"
